draw_date,winning_numbers,num1,num2,num3,num4,num5,num6
2018-06-30,09 15 21 35 49 56,9,15,21,35,49,56
2018-07-04,16 19 34 42 44 57,16,19,34,42,44,57
2018-07-07,02 15 20 53 54 58,2,15,20,53,54,58
2018-07-11,08 30 32 35 45 56,8,30,32,35,45,56
2018-07-14,18 27 31 35 36 45,18,27,31,35,36,45
2018-07-18,04 07 19 24 30 45,4,7,19,24,30,45
2018-07-21,14 16 26 47 52 55,14,16,26,47,52,55
2018-07-25,04 10 18 35 41 49,4,10,18,35,41,49
2018-07-28,17 28 34 38 41 52,17,28,34,38,41,52
2018-08-01,05 27 28 33 40 43,5,27,28,33,40,43
2018-08-04,09 20 24 31 32 53,9,20,24,31,32,53
2018-08-08,11 16 29 43 55 57,11,16,29,43,55,57
2018-08-11,25 28 29 47 51 58,25,28,29,47,51,58
2018-08-15,02 36 42 53 54 55,2,36,42,53,54,55
2018-08-18,12 24 27 30 40 53,12,24,27,30,40,53
2018-08-22,11 14 46 48 57 59,11,14,46,48,57,59
2018-08-25,12 31 38 48 49 54,12,31,38,48,49,54
2018-08-29,01 15 19 50 52 53,1,15,19,50,52,53
2018-09-01,03 14 15 25 34 35,3,14,15,25,34,35
2018-09-05,15 29 37 38 40 53,15,29,37,38,40,53
2018-09-08,13 18 19 27 47 59,13,18,19,27,47,59
2018-09-12,11 20 28 43 57 59,11,20,28,43,57,59
2018-09-15,25 28 33 36 37 59,25,28,33,36,37,59
2018-09-19,08 15 19 49 52 57,8,15,19,49,52,57
2018-09-22,01 02 15 17 27 56,1,2,15,17,27,56
2018-09-26,11 27 29 35 45 59,11,27,29,35,45,59
2018-09-29,09 13 35 41 42 51,9,13,35,41,42,51
2018-10-03,04 18 19 24 31 42,4,18,19,24,31,42
2018-10-06,10 12 29 41 48 57,10,12,29,41,48,57
2018-10-10,15 24 30 37 44 59,15,24,30,37,44,59
2018-10-13,12 15 20 26 39 58,12,15,20,26,39,58
2018-10-17,01 05 08 43 50 51,1,5,8,43,50,51
2018-10-20,04 07 08 09 41 58,4,7,8,9,41,58
2018-10-24,07 18 39 42 44 58,7,18,39,42,44,58
2018-10-27,05 13 26 28 42 51,5,13,26,28,42,51
2018-10-31,11 27 41 51 52 53,11,27,41,51,52,53
2018-11-03,15 30 40 42 56 59,15,30,40,42,56,59
2018-11-07,18 24 37 50 58 59,18,24,37,50,58,59
2018-11-10,03 16 19 25 28 43,3,16,19,25,28,43
2018-11-14,05 15 26 39 45 49,5,15,26,39,45,49
2018-11-17,17 26 30 37 47 50,17,26,30,37,47,50
2018-11-21,09 24 34 35 57 58,9,24,34,35,57,58
2018-11-24,01 10 14 17 46 56,1,10,14,17,46,56
2018-11-28,02 03 21 23 35 57,2,3,21,23,35,57
2018-12-01,05 06 12 20 50 54,5,6,12,20,50,54
2018-12-05,01 11 24 37 44 50,1,11,24,37,44,50
2018-12-08,02 26 30 31 38 59,2,26,30,31,38,59
2018-12-12,05 12 16 28 33 42,5,12,16,28,33,42
2018-12-15,08 12 33 34 38 42,8,12,33,34,38,42
2018-12-19,01 20 22 24 34 39,1,20,22,24,34,39
2018-12-22,28 37 40 41 48 59,28,37,40,41,48,59
2018-12-26,02 08 16 22 45 46,2,8,16,22,45,46
2018-12-29,02 16 18 27 29 35,2,16,18,27,29,35
2019-01-02,22 23 34 36 49 55,22,23,34,36,49,55
2019-01-05,28 33 38 45 54 57,28,33,38,45,54,57
2019-01-09,17 21 31 33 46 53,17,21,31,33,46,53
2019-01-12,05 21 30 48 56 57,5,21,30,48,56,57
2019-01-16,02 10 40 43 48 52,2,10,40,43,48,52
2019-01-19,38 40 43 48 58 59,38,40,43,48,58,59
2019-01-23,06 18 19 21 23 51,6,18,19,21,23,51
2019-01-26,20 24 27 34 35 59,20,24,27,34,35,59
